,phase,S_score,G2M_score
SRR4216608,S,0.03322029274185745,-0.32489860505625523
SRR4216609,S,0.27721087512162534,-0.0834597189142332
SRR4216610,S,0.23041679760906464,-0.050417592057480975
SRR4216611,G1,-0.10034308982958207,-0.347339707938777
SRR4216612,G1,-0.09757286993635783,-0.1567910319128778
SRR4216613,G2M,-0.015087982169178726,0.15943420394813068
SRR4216614,S,0.1185327117637589,0.0025868168218309284
SRR4216615,S,0.13723139633208636,-0.03315879637111263
SRR4216616,S,0.1440921063713242,-0.14637043657106275
SRR4216617,G1,-0.0060101480486681735,-0.4470901568713548
SRR4216618,G1,-0.5665266733728338,-0.28933658064212264
SRR4216619,G1,-0.12310667922926577,-0.26857814995677254
SRR4216620,S,0.12700596074948356,-0.10211220382145747
SRR4216621,G1,-0.21310789270296737,-0.5456754115517778
SRR4216622,S,0.49889317312794046,0.05854057383795852
SRR4216623,S,0.018280295587769002,-0.1004512452329187
SRR4216624,S,0.07712546162221623,-0.3127245909522286
SRR4216625,G1,-0.3433413750188906,-0.20103491084685077
SRR4216626,S,0.3580085320201347,0.04410973436349708
SRR4216627,S,0.3609792646788268,-0.2472384504260563
SRR4216628,S,0.1890270756111112,-0.050145975365118334
SRR4216629,G1,-0.30040137641463993,-0.17929539800007044
SRR4216630,G1,-0.035711354222790925,-0.1876975129855002
SRR4216631,G2M,-0.10722071201419636,0.09929102545778412
SRR4216632,S,0.19613085576456601,-0.08154232515854143
SRR4216633,S,1.044259159311648,0.18459653508463703
SRR4216634,G1,-0.1697309636788975,-0.04108092829917931
SRR4216635,S,0.25218106038035004,-0.3325448726979273
SRR4216636,S,0.5019296079848974,0.0012708596951025442
SRR4216637,G1,-0.05074090639482809,-0.3046915533384579
SRR4216638,S,0.17169465048158727,-0.20745778975965878
SRR4216639,G1,-0.0764971113619366,-0.19588975249492324
SRR4216640,G1,-0.5544682121223383,-0.2347585777694241
SRR4216641,S,0.08745347908775036,-0.02206985445138332
SRR4216642,G1,-0.4300920546873631,-0.25382675398854193
SRR4216643,S,0.019934506385574258,-0.0925510499375155
SRR4216644,S,0.0011805258179566902,-0.17838467170064898
SRR4216645,G1,-0.35832574169008147,-0.565035846378409
